atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2020;Partículas;1,0;Combustión en la producción y transformación de energía;PST;t;72.87
2020;Partículas;2,0;Plantas de combustión no industrial;PST;t;2059.64
2020;Partículas;3,0;Plantas de combustión industrial;PST;t;834.05
2020;Partículas;4,0;Procesos industriales sin combustión;PST;t;1529.01
2020;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PST;t;0.00
2020;Partículas;6,0;Uso de disolventes y otros productos;PST;t;269.54
2020;Partículas;7,0;Transporte por carretera;PST;t;2326.83
2020;Partículas;8,0;Otros modos de transporte y maquinaria móvil;PST;t;168.93
2020;Partículas;9,0;Tratamiento y eliminación de residuos;PST;t;418.32
2020;Partículas;10,0;Agricultura;PST;t;580.73
2020;Partículas;11,0;Otras fuentes y sumideros (naturaleza);PST;t;246.32
2020;Partículas;1,0;Combustión en la producción y transformación de energía;BC;t;0.17
2020;Partículas;2,0;Plantas de combustión no industrial;BC;t;213.88
2020;Partículas;3,0;Plantas de combustión industrial;BC;t;203.15
2020;Partículas;4,0;Procesos industriales sin combustión;BC;t;0.15
2020;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;BC;t;0.00
2020;Partículas;6,0;Uso de disolventes y otros productos;BC;t;106.67
2020;Partículas;7,0;Transporte por carretera;BC;t;567.63
2020;Partículas;8,0;Otros modos de transporte y maquinaria móvil;BC;t;77.86
2020;Partículas;9,0;Tratamiento y eliminación de residuos;BC;t;107.88
2020;Partículas;10,0;Agricultura;BC;t;0.00
2020;Partículas;11,0;Otras fuentes y sumideros (naturaleza);BC;t;11.74
2020;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;HCB;kg;0.00
2020;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;HCB;kg;0.02
2020;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;HCB;kg;0.03
2020;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;HCB;kg;0.00
2020;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;HCB;kg;0.00
2020;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;HCB;kg;0.00
2020;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;HCB;kg;0.00
2020;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;HCB;kg;0.00
2020;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;HCB;kg;0.23
2020;Contaminantes orgánicos persistentes;10,0;Agricultura;HCB;kg;0.12
2020;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);HCB;kg;0.00
2020;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;DIOX;g;0.01
2020;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;DIOX;g;1.85
2020;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;DIOX;g;0.54
2020;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;DIOX;g;0.65
2020;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;DIOX;g;0.00
